@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3}

@data
57,'2018/01/18 19:42:00:280',1,0.258409,0.716465,1,0.436665,0.631213,0.049184,0.223256,0.033821,0.036544,0.018091,0.014454,0.01423,0.010319,0.012431,0.070011,0.063974,0.005054,0.02262,0.006952,0.001095,0.000808,0.000702,0.001748,0.001285,0.000123,?
58,'2018/01/18 19:42:00:292',1,0.362598,1,1,0.369363,0.633669,0.038191,0.191674,0.038973,0.0461,0.021103,0.018911,0.012419,0.008173,0.010296,0.050616,0.025121,0.003727,0.021364,0.007031,0.001095,0.001046,0.000826,0.001797,0.000991,0.000143,?
59,'2018/01/18 19:42:00:303',1,0.166039,0.640675,1,0.302035,0.415397,0.049578,0.185191,0.0181,0.092906,0.015855,0.011428,0.013702,0.008608,0.006009,0.035452,0.020956,0.002316,0.019408,0.006633,0.001099,0.000828,0.000724,0.001606,0.001307,0.000173,?
60,'2018/01/18 19:42:00:314',1,0.163058,1,1,0.476804,0.451952,0.063344,0.135807,0.01392,0.083013,0.012449,0.009714,0.015218,0.005172,0.005028,0.027379,0.03325,0.002246,0.018335,0.004403,0.000883,0.000863,0.00059,0.001418,0.001499,0.000133,?
61,'2018/01/18 19:42:00:326',1,0.259873,1,1,0.322112,0.261453,0.065948,0.102377,0.024898,0.065473,0.015389,0.008189,0.009435,0.006124,0.006463,0.025271,0.038178,0.002182,0.019201,0.004388,0.001035,0.000846,0.000739,0.001298,0.001683,0.000122,?
62,'2018/01/18 19:42:00:338',1,0.328762,0.656228,1,0.115568,0.110883,0.036628,0.063034,0.01906,0.031263,0.007566,0.009831,0.009138,0.005137,0.004606,0.03609,0.026771,0.002356,0.015014,0.003725,0.001145,0.000782,0.000663,0.00164,0.001121,0.000108,?
63,'2018/01/18 19:42:00:350',1,0.197052,0.630062,1,0.189098,0.070002,0.021619,0.033012,0.0167,0.028854,0.004139,0.011436,0.011918,0.006214,0.004032,0.024675,0.015364,0.001872,0.007289,0.003673,0.00113,0.000764,0.000587,0.001331,0.000603,0.000122,?
64,'2018/01/18 19:42:00:361',1,0.064821,0.199443,1,0.239973,0.10003,0.015841,0.026401,0.018409,0.025543,0.005657,0.011239,0.010058,0.00876,0.007026,0.015027,0.010254,0.001434,0.005115,0.002388,0.001185,0.000704,0.000543,0.000914,0.000615,0.000113,?
65,'2018/01/18 19:42:00:372',1,0.068541,0.231337,1,0.183442,0.144874,0.011006,0.012879,0.010484,0.018349,0.006568,0.009352,0.009489,0.004695,0.006487,0.008413,0.007732,0.001666,0.002821,0.001403,0.00153,0.000656,0.000492,0.000483,0.00046,0.000093,?
66,'2018/01/18 19:42:00:393',1,0.051502,0.172323,0.746807,0.10223,0.067205,0.011769,0.011031,0.007416,0.008558,0.008837,0.00972,0.010096,0.00526,0.004641,0.006724,0.005821,0.001434,0.001989,0.001173,0.001461,0.000671,0.000452,0.00036,0.000254,0.000099,?
